SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,Poss,STL_RATE,BLK_RATE,DREB_RATE,PF_RATE,TOV_RATE,PM_RATE,DIS,AST_RATE,FG3A_RATE,FTA_RATE,FGA_RATE,OGI,Contest_Rate,Rim_Deterrence,TO_Pressure,OnOff_Net
22024,1630595,0022401171,"Apr 11, 2025",DET vs. MIL,L,36.0,15,21,0.714,3,5,0.6,3,4,0.75,0,6,6,12,0,2,4,1,36,0,1,28.8,0.0,0.06944203326273393,0.2083260997882018,0.034721016631366966,0.13888406652546786,0.0,28.471233637720914,0.4166521995764036,0.17360508315683482,0.13888406652546786,0.7291413492587062,60.93538418804902,2.6665925946501488,19.09655914725183,0.0,6.249782993646054
22024,1630595,0022401167,"Apr 10, 2025",DET vs. NYK,W,35.0,16,24,0.667,2,5,0.4,2,4,0.5,1,1,2,8,1,1,4,5,36,9,1,28.0,0.03571301024963394,0.03571301024963394,0.03571301024963394,0.1785650512481697,0.14285204099853577,0.32141709224670545,15.892289561087104,0.28570408199707154,0.1785650512481697,0.14285204099853577,0.8571122459912146,55.35516588693261,2.742778777749207,8.035427306167637,7.142602049926788,6.785471947430448
22024,1630595,0022401144,"Apr 07, 2025",DET vs. SAC,L,33.0,13,21,0.619,1,4,0.25,8,11,0.727,1,2,3,5,2,0,4,2,35,-9,1,26.400000000000002,0.07575470626112646,0.0,0.07575470626112646,0.07575470626112646,0.15150941252225292,-0.34089617817506906,16.097875080489374,0.18938676565281615,0.15150941252225292,0.4166508844361955,0.7954244157418279,55.300935570622315,2.909002757492197,1.8938676565281614,15.15094125222529,-1.8938676565281618
22024,1630595,0022401129,"Apr 05, 2025",DET vs. MEM,L,28.0,9,24,0.375,2,6,0.333,5,7,0.714,1,8,9,4,0,1,2,4,25,-3,1,22.400000000000002,0.0,0.04464086424713182,0.35712691397705454,0.17856345698852727,0.08928172849426363,-0.13392259274139545,27.900540154457385,0.17856345698852727,0.2678451854827909,0.3124860497299227,1.0713807419311636,63.613231552162844,1.7142244919824292,17.856345698852728,0.0,0.8928172849426366
22024,1630595,0022401019,"Mar 21, 2025",DET @ DAL,L,38.0,15,30,0.5,2,5,0.4,3,5,0.6,1,6,7,6,1,0,2,4,35,-5,1,30.400000000000002,0.03289365481398638,0.0,0.19736192888391826,0.13157461925594552,0.06578730962797276,-0.1644682740699319,15.953422584783391,0.19736192888391826,0.1644682740699319,0.1644682740699319,0.9868096444195914,52.46537942830827,1.2631246546143524,4.934048222097957,6.578730962797276,1.3157461925594545
22024,1630595,0022401000,"Mar 19, 2025",DET @ MIA,W,36.0,11,25,0.44,3,4,0.75,0,0,0.0,4,8,12,11,1,2,5,3,25,-3,1,28.8,0.034721016631366966,0.06944203326273393,0.27776813305093573,0.1041630498941009,0.17360508315683482,-0.1041630498941009,39.06114371028784,0.3819311829450366,0.13888406652546786,0.0,0.8680254157841741,55.38002152703031,3.999888891975223,20.83260997882018,6.944203326273393,3.992916912607201
22024,1630595,0022400987,"Mar 17, 2025",DET @ NOP,W,30.0,10,16,0.625,1,2,0.5,3,4,0.75,0,4,4,8,1,0,4,3,24,21,1,24.0,0.0416649306278905,0.0,0.166659722511562,0.1249947918836715,0.166659722511562,0.8749635431857006,28.957126786383906,0.333319445023124,0.083329861255781,0.166659722511562,0.666638890046248,49.997916753468594,1.5999466684443853,4.1664930627890495,8.332986125578099,12.916128494646054
22024,1630595,0022400969,"Mar 15, 2025",DET vs. OKC,L,29.0,5,18,0.278,0,4,0.0,1,1,1.0,0,7,7,9,0,0,3,0,11,-28,1,23.200000000000003,0.0,0.0,0.3017111331408128,0.0,0.12930477134606264,-1.2068445325632513,2.1550795224343795,0.38791431403818794,0.1724063617947502,0.04310159044868755,0.7758286280763759,56.67859144002412,0.0,7.5427783285203205,0.0,-6.249730615059694
22024,1630595,0022400954,"Mar 13, 2025",DET vs. WAS,L,38.0,9,25,0.36,0,7,0.0,20,21,0.952,0,3,3,10,2,2,4,5,38,5,1,30.400000000000002,0.06578730962797276,0.06578730962797276,0.09868096444195913,0.1644682740699319,0.13157461925594552,0.1644682740699319,36.018552021315095,0.3289365481398638,0.23025558369790464,0.690766751093714,0.8223413703496595,79.27370810170717,5.05249861845741,15.62448603664353,13.157461925594552,6.249794414657412
22024,1630595,0022400941,"Mar 11, 2025",DET vs. WAS,W,32.0,11,23,0.478,1,5,0.2,4,5,0.8,1,7,8,10,1,0,3,5,27,16,1,25.6,0.03906097418069606,0.0,0.27342681926487244,0.1953048709034803,0.11718292254208819,0.624975586891137,31.639389086363813,0.3906097418069606,0.1953048709034803,0.1953048709034803,0.8984024061560094,66.40365610718331,1.499953126464798,6.835670481621811,7.812194836139212,12.30420686691926
