SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,Poss,STL_RATE,BLK_RATE,DREB_RATE,PF_RATE,TOV_RATE,PM_RATE,DIS,AST_RATE,FG3A_RATE,FTA_RATE,FGA_RATE,OGI,Contest_Rate,Rim_Deterrence,TO_Pressure,OnOff_Net
22024,1628401,0022401174,"Apr 11, 2025",BOS vs. CHA,W,34.0,8,12,0.667,3,7,0.429,0,0,0.0,1,2,3,7,1,4,3,0,19,15,1,27.200000000000003,0.03676335428844527,0.1470534171537811,0.07352670857689055,0.0,0.11029006286533581,0.5514503143266791,58.63755009007021,0.2573434800191169,0.2573434800191169,0.0,0.44116025146134324,41.91022388882761,7.058615923061087,31.24885114517848,7.352670857689055,9.007021800669094
22024,1628401,0022401151,"Apr 08, 2025",BOS @ NYK,W,43.0,5,14,0.357,4,12,0.333,0,0,0.0,4,4,8,9,1,0,3,1,14,-1,1,34.4,0.029068922415046078,0.0,0.11627568966018431,0.029068922415046078,0.08720676724513823,-0.029068922415046078,13.80773814714689,0.2616203017354147,0.34882706898055293,0.0,0.4069649138106451,45.9288974157728,1.1162531103927815,2.906892241504608,5.813784483009216,3.6336153018807593
22024,1628401,0022401137,"Apr 06, 2025",BOS vs. WAS,W,26.0,7,12,0.583,5,9,0.556,0,0,0.0,0,1,1,4,1,0,3,1,19,14,1,20.8,0.04807461179750973,0.0,0.04807461179750973,0.04807461179750973,0.1442238353925292,0.6730445651651362,22.114321426854477,0.1922984471900389,0.4326715061775876,0.0,0.5768953415701168,49.51685015143502,1.846082842967578,1.2018652949377433,9.614922359501946,8.413057064564201
22024,1628401,0022401120,"Apr 04, 2025",BOS vs. PHX,W,33.0,4,9,0.444,4,8,0.5,0,0,0.0,1,8,9,7,0,0,2,1,12,28,1,26.400000000000002,0.0,0.0,0.30301882504450584,0.03787735313056323,0.07575470626112646,1.0605658876557704,36.362259005340704,0.2651414719139426,0.30301882504450584,0.0,0.34089617817506906,42.233248740578,0.0,7.575470626112645,0.0,14.77216772091966
22024,1628401,0022401106,"Apr 02, 2025",BOS vs. MIA,L,31.0,5,11,0.455,2,7,0.286,4,5,0.8,2,2,4,6,1,2,4,0,16,-13,1,24.8,0.04032095480020967,0.08064190960041934,0.08064190960041934,0.0,0.16128381920083867,-0.5241724124027256,26.007015846135232,0.24192572880125798,0.28224668360146765,0.20160477400104834,0.4435305028023063,49.191564856255795,4.645011451243509,18.144429660094353,8.064190960041934,-2.8224668360146756
22024,1628401,0022401093,"Mar 31, 2025",BOS @ MEM,W,36.0,4,13,0.308,3,11,0.273,3,3,1.0,1,7,8,10,0,2,1,2,14,19,1,28.8,0.0,0.06944203326273393,0.24304711641956875,0.06944203326273393,0.034721016631366966,0.6596993159959723,42.8804555397382,0.34721016631366963,0.3819311829450366,0.1041630498941009,0.45137321620777054,58.3313079406965,2.6665925946501488,19.964584563036006,0.0,13.02038123676261
22024,1628401,0022401080,"Mar 29, 2025",BOS @ SAS,W,40.0,4,13,0.308,3,12,0.25,2,3,0.667,1,7,8,6,0,1,2,1,13,10,1,32.0,0.0,0.031249023468016626,0.2187431642761164,0.031249023468016626,0.06249804693603325,0.3124902346801663,26.874160182494304,0.18749414080809976,0.3749882816161995,0.09374707040404988,0.4062373050842161,45.31108402862411,1.1999700007499814,11.718383800506235,0.0,5.937314458923159
22024,1628401,0022401058,"Mar 26, 2025",BOS @ PHX,W,31.0,5,11,0.455,4,10,0.4,2,2,1.0,0,4,4,7,0,0,2,4,16,34,1,24.8,0.0,0.0,0.16128381920083867,0.16128381920083867,0.08064190960041934,1.3709124632071286,24.595782428127894,0.28224668360146765,0.4032095480020967,0.08064190960041934,0.4435305028023063,53.8284746582799,0.0,4.032095480020967,0.0,18.14442966009435
22024,1628401,0022401044,"Mar 24, 2025",BOS @ SAC,W,33.0,4,9,0.444,3,8,0.375,1,2,0.5,0,5,5,8,2,0,1,4,12,5,1,26.400000000000002,0.07575470626112646,0.0,0.18938676565281615,0.15150941252225292,0.03787735313056323,0.18938676565281615,33.52145752054846,0.30301882504450584,0.30301882504450584,0.07575470626112646,0.34089617817506906,47.536078178856854,2.909002757492197,4.734669141320404,15.15094125222529,7.38608386045983
22024,1628401,0022401034,"Mar 23, 2025",BOS @ POR,W,37.0,6,12,0.5,4,10,0.4,1,2,0.5,1,2,3,8,2,1,3,0,17,11,1,29.6,0.0675652849565893,0.03378264247829465,0.0675652849565893,0.0,0.10134792743488395,0.37160906726124115,36.65416708894969,0.2702611398263572,0.3378264247829465,0.0675652849565893,0.4053917097395358,48.30917874396135,3.891786708467339,8.445660619573662,13.513056991317859,7.601094557616295
22024,1628401,0022401020,"Mar 21, 2025",BOS @ UTA,W,32.0,3,8,0.375,2,7,0.286,3,4,0.75,0,5,5,4,3,1,1,4,11,7,1,25.6,0.11718292254208819,0.03906097418069606,0.1953048709034803,0.15624389672278424,0.03906097418069606,0.27342681926487244,57.22432717471973,0.15624389672278424,0.27342681926487244,0.15624389672278424,0.3124877934455685,37.88914495527518,5.999812505859192,12.69481660872622,23.43658450841764,5.273231514393968
22024,1628401,0022400994,"Mar 18, 2025",BOS vs. BKN,W,33.0,6,19,0.316,3,11,0.273,3,3,1.0,0,5,5,4,0,1,4,3,18,2,1,26.400000000000002,0.0,0.03787735313056323,0.18938676565281615,0.11363205939168969,0.15150941252225292,0.07575470626112646,16.66603537744782,0.15150941252225292,0.4166508844361955,0.11363205939168969,0.7196697094807014,53.407067914094156,1.4545013787460985,12.31013976743305,0.0,1.5150941252225287
22024,1628401,0022400958,"Mar 14, 2025",BOS @ MIA,W,37.0,7,18,0.389,3,11,0.273,1,2,0.5,1,4,5,4,2,0,2,0,18,12,1,29.6,0.0675652849565893,0.0,0.1351305699131786,0.0,0.0675652849565893,0.4053917097395358,35.13394817742643,0.1351305699131786,0.37160906726124115,0.0675652849565893,0.6080875646093037,45.606567345697776,2.5945244723115595,3.3782642478294647,13.513056991317859,5.743049221310091
22024,1628401,0022400946,"Mar 12, 2025",BOS vs. OKC,L,37.0,7,14,0.5,6,12,0.5,2,3,0.667,2,6,8,5,2,3,3,6,22,-13,1,29.6,0.0675652849565893,0.10134792743488395,0.2026958548697679,0.2026958548697679,0.10134792743488395,-0.43917435221783047,44.086348434174525,0.16891321239147325,0.4053917097395358,0.10134792743488395,0.47295699469612507,47.46461268200398,6.486311180778898,25.33698185872099,13.513056991317859,-2.5336981858720993
22024,1628401,0022400929,"Mar 10, 2025",BOS vs. UTA,W,36.0,6,16,0.375,3,11,0.273,3,3,1.0,0,5,5,10,0,3,1,2,18,3,1,28.8,0.0,0.1041630498941009,0.17360508315683482,0.06944203326273393,0.034721016631366966,0.1041630498941009,37.67230304503315,0.34721016631366963,0.3819311829450366,0.1041630498941009,0.5555362661018715,60.93538418804902,3.999888891975223,25.172737057741053,0.0,7.465018575743897
22024,1628401,0022400918,"Mar 08, 2025",BOS vs. LAL,W,36.0,3,7,0.429,1,5,0.2,3,3,1.0,1,4,5,7,1,1,2,0,10,17,1,28.8,0.034721016631366966,0.034721016631366966,0.13888406652546786,0.0,0.06944203326273393,0.5902572827332384,36.977882712405815,0.24304711641956875,0.17360508315683482,0.1041630498941009,0.24304711641956875,35.4154369639943,2.6665925946501488,10.41630498941009,6.944203326273393,9.72188465678275
22024,1628401,0022400900,"Mar 06, 2025",BOS vs. PHI,W,24.0,4,14,0.286,2,10,0.2,2,2,1.0,0,3,3,6,0,0,0,2,12,9,1,19.200000000000003,0.0,0.0,0.1562418624029998,0.10416124160199987,0.0,0.46872558720899943,15.36378313629498,0.3124837248059996,0.5208062080099993,0.10416124160199987,0.7291286912139991,69.78803187333992,0.0,3.906046560074995,0.0,10.936930368209985
22024,1628401,0022400891,"Mar 05, 2025",BOS vs. POR,W,39.0,14,26,0.538,9,17,0.529,4,4,1.0,0,3,3,2,3,1,1,0,41,8,1,31.200000000000003,0.09615076439857696,0.032050254799525654,0.09615076439857696,0.0,0.032050254799525654,0.25640203839620523,47.43437710329797,0.06410050959905131,0.5448543315919361,0.12820101919810262,0.8333066247876669,57.04945354315566,4.92295069357196,8.813820069869555,19.230152879715394,3.365276753950194
22024,1628401,0022400866,"Mar 02, 2025",BOS vs. DEN,W,33.0,6,13,0.462,5,11,0.455,0,0,0.0,1,2,3,2,2,0,0,2,17,6,1,26.400000000000002,0.07575470626112646,0.0,0.07575470626112646,0.07575470626112646,0.0,0.22726411878337938,29.16556191053369,0.07575470626112646,0.4166508844361955,0.0,0.492405590697322,38.445513427521675,2.909002757492197,1.8938676565281614,15.15094125222529,3.787735313056323
22024,1628401,0022400852,"Feb 28, 2025",BOS vs. CLE,L,41.0,5,12,0.417,4,10,0.4,2,2,1.0,0,1,1,5,3,0,1,3,16,-2,1,32.800000000000004,0.09146062620042071,0.0,0.030486875400140237,0.09146062620042071,0.030486875400140237,-0.060973750800280474,24.389500320112194,0.1524343770007012,0.3048687540014024,0.060973750800280474,0.36584250480168284,37.193987988171095,3.5121094607448606,0.762171885003506,18.292125240084143,1.9816469010091156
22024,1628401,0022400836,"Feb 26, 2025",BOS @ DET,L,31.0,6,12,0.5,5,10,0.5,1,2,0.5,1,2,3,3,0,0,2,2,18,-11,1,24.8,0.0,0.0,0.08064190960041934,0.08064190960041934,0.08064190960041934,-0.4435305028023063,-5.846538446030401,0.12096286440062899,0.4032095480020967,0.08064190960041934,0.48385145760251597,43.54663118422644,0.0,2.0160477400104835,0.0,-3.2256763840167735
22024,1628401,0022400829,"Feb 25, 2025",BOS @ TOR,W,38.0,7,15,0.467,6,11,0.545,2,2,1.0,0,3,3,5,3,2,2,2,22,5,1,30.400000000000002,0.09868096444195913,0.06578730962797276,0.09868096444195913,0.06578730962797276,0.06578730962797276,0.1644682740699319,51.80750633202855,0.1644682740699319,0.36183020295385016,0.06578730962797276,0.4934048222097957,44.24196572481168,6.315623273071761,15.62448603664353,19.736192888391827,3.947238577678365
22024,1628401,0022400811,"Feb 23, 2025",BOS vs. NYK,W,37.0,7,10,0.7,5,6,0.833,0,0,0.0,2,7,9,7,1,0,2,1,19,19,1,29.6,0.03378264247829465,0.0,0.23647849734806253,0.03378264247829465,0.0675652849565893,0.6418702070875983,35.30286138981791,0.23647849734806253,0.2026958548697679,0.0,0.3378264247829465,35.13394817742643,1.2972622361557797,5.9119624337015635,6.756528495658929,10.134792743488395
22024,1628401,0022400789,"Feb 20, 2025",BOS @ PHI,W,26.0,5,10,0.5,3,7,0.429,3,3,1.0,0,10,10,2,0,0,1,1,16,14,1,20.8,0.0,0.0,0.4807461179750973,0.04807461179750973,0.04807461179750973,0.6730445651651362,45.190135089659144,0.09614922359501946,0.3365222825825681,0.1442238353925292,0.4807461179750973,40.62304696889572,0.0,12.018652949377433,0.0,7.932310946589104
22024,1628401,0022400769,"Feb 12, 2025",BOS vs. SAS,W,39.0,7,16,0.438,3,11,0.273,2,2,1.0,1,6,7,9,1,0,6,1,19,11,1,31.200000000000003,0.032050254799525654,0.0,0.19230152879715393,0.032050254799525654,0.19230152879715393,0.3525528027947822,23.2364347296561,0.28845229319573085,0.3525528027947822,0.06410050959905131,0.5128040767924105,52.882920419217335,1.23073767339299,4.8075382199288486,6.4100509599051305,6.41005095990513
22024,1628401,0022400759,"Feb 10, 2025",BOS @ MIA,W,38.0,3,10,0.3,2,8,0.25,5,5,1.0,1,3,4,7,0,0,2,1,13,13,1,30.400000000000002,0.0,0.0,0.09868096444195913,0.03289365481398638,0.06578730962797276,0.4276175125818229,11.019374362685435,0.23025558369790464,0.26314923851189104,0.1644682740699319,0.3289365481398638,43.25515608039209,0.0,2.4670241110489783,0.0,7.894477155356731
22024,1628401,0022400748,"Feb 08, 2025",BOS @ NYK,W,25.0,5,9,0.556,4,7,0.571,3,3,1.0,0,3,3,4,0,1,1,1,17,21,1,20.0,0.0,0.049997500124993745,0.14999250037498124,0.049997500124993745,0.049997500124993745,1.0499475026248688,36.748162591870404,0.19999000049997498,0.34998250087495625,0.14999250037498124,0.4499775011249437,47.997600119994,1.919923203071877,13.74931253437328,0.0,13.749312534373283
22024,1628401,0022400728,"Feb 06, 2025",BOS vs. DAL,L,26.0,5,10,0.5,2,6,0.333,1,1,1.0,0,3,3,3,0,1,1,2,13,-7,1,20.8,0.0,0.04807461179750973,0.1442238353925292,0.09614922359501946,0.04807461179750973,-0.3365222825825681,13.220518244315175,0.1442238353925292,0.2884476707850584,0.04807461179750973,0.4807461179750973,38.21931637902024,1.846082842967578,13.220518244315176,0.0,-1.201865294937743
22024,1628401,0022400710,"Feb 04, 2025",BOS @ CLE,W,35.0,7,14,0.5,6,12,0.5,0,2,0.0,2,3,5,2,2,1,0,0,20,-11,1,28.0,0.07142602049926788,0.03571301024963394,0.10713903074890183,0.0,0.0,-0.39284311274597333,33.034534480911404,0.07142602049926788,0.4285561229956073,0.07142602049926788,0.4999821434948752,41.42709188957537,4.114168166623811,9.821077818649334,14.285204099853576,-2.4999107174743758
22024,1628401,0022400698,"Feb 02, 2025",BOS @ PHI,W,34.0,6,11,0.545,5,9,0.556,0,0,0.0,0,1,1,9,0,1,2,1,17,2,1,27.200000000000003,0.0,0.03676335428844527,0.03676335428844527,0.03676335428844527,0.07352670857689055,0.07352670857689055,9.55847211499577,0.3308701885960075,0.3308701885960075,0.0,0.404396897172898,49.81434506084335,1.4117231846122174,8.271754714900187,0.0,6.249770229035697
