SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,Poss,STL_RATE,BLK_RATE,DREB_RATE,PF_RATE,TOV_RATE,PM_RATE,DIS,AST_RATE,FG3A_RATE,FTA_RATE,FGA_RATE,OGI,Contest_Rate,Rim_Deterrence,TO_Pressure,OnOff_Net
22024,1627826,0022401198,"Apr 13, 2025",LAC @ GSW,W,42.0,11,16,0.688,0,0,0.0,0,0,0.0,4,13,17,3,1,1,0,0,22,13,1,33.6,0.029761019017291154,0.029761019017291154,0.38689324722478496,0.0,0.0,0.38689324722478496,53.12341894586471,0.08928305705187346,0.0,0.0,0.47617630427665847,18.154221600547604,2.285659865241304,15.624534984077854,5.9522038034582305,5.654593613285319
22024,1627826,0022401184,"Apr 11, 2025",LAC @ SAC,W,36.0,8,10,0.8,0,0,0.0,1,1,1.0,2,9,11,0,0,0,1,1,17,10,1,28.8,0.0,0.0,0.3124891496823027,0.034721016631366966,0.034721016631366966,0.34721016631366963,27.77681330509357,0.0,0.0,0.034721016631366966,0.34721016631366963,9.895489739939585,0.0,7.812228742057567,0.0,2.9512864136661916
22024,1627826,0022401166,"Apr 09, 2025",LAC vs. HOU,W,35.0,9,13,0.692,0,0,0.0,2,2,1.0,1,10,11,10,1,0,2,0,20,18,1,28.0,0.03571301024963394,0.0,0.3571301024963394,0.0,0.07142602049926788,0.6428341844934109,46.784043427020464,0.3571301024963394,0.0,0.07142602049926788,0.4642691332452412,39.105746223349165,1.3713893888746036,8.928252562408485,7.142602049926788,12.499553587371878
22024,1627826,0022401155,"Apr 08, 2025",LAC vs. SAS,W,39.0,11,17,0.647,0,0,0.0,2,2,1.0,8,12,20,5,1,0,2,2,24,12,1,31.200000000000003,0.032050254799525654,0.0,0.38460305759430785,0.06410050959905131,0.06410050959905131,0.38460305759430785,41.665331239383356,0.16025127399762826,0.0,0.06410050959905131,0.5448543315919361,27.082465305599175,1.23073767339299,9.615076439857697,6.4100509599051305,6.089548411909874
22024,1627826,0022401132,"Apr 05, 2025",LAC vs. DAL,W,28.0,11,11,1.0,0,0,0.0,3,3,1.0,2,8,10,2,0,1,0,3,25,23,1,22.400000000000002,0.0,0.04464086424713182,0.35712691397705454,0.13392259274139545,0.0,1.0267398776840317,49.77456363555198,0.08928172849426363,0.0,0.13392259274139545,0.49104950671845,23.213249408508545,1.7142244919824292,17.856345698852728,0.0,12.05303334672559
22024,1627826,0022401127,"Apr 04, 2025",LAC vs. DAL,W,27.0,6,14,0.429,0,0,0.0,2,4,0.5,7,6,13,2,1,1,2,2,14,9,1,21.6,0.046294153048469976,0.046294153048469976,0.27776491829081984,0.09258830609693995,0.09258830609693995,0.41664737743622976,47.451506874681726,0.09258830609693995,0.0,0.1851766121938799,0.6481181426785796,29.16531642053608,3.5554238731898815,16.20295356696449,9.258830609693995,4.629415304846997
22024,1627826,0022401111,"Apr 02, 2025",LAC vs. NOP,W,33.0,6,8,0.75,0,0,0.0,5,6,0.833,2,8,10,6,0,0,1,1,17,18,1,26.400000000000002,0.0,0.0,0.30301882504450584,0.03787735313056323,0.03787735313056323,0.6817923563501381,31.816976629673118,0.22726411878337938,0.0,0.22726411878337938,0.30301882504450584,31.43820309836748,0.0,7.575470626112645,0.0,10.795045642210521
22024,1627826,0022401091,"Mar 31, 2025",LAC @ ORL,W,38.0,7,10,0.7,0,0,0.0,4,5,0.8,9,11,20,5,0,0,1,2,18,10,1,30.400000000000002,0.0,0.0,0.36183020295385016,0.06578730962797276,0.03289365481398638,0.3289365481398638,30.262162428867466,0.1644682740699319,0.0,0.1644682740699319,0.3289365481398638,25.492582480839445,0.0,9.045755073846253,0.0,6.085326140587481
22024,1627826,0022401081,"Mar 30, 2025",LAC @ CLE,L,37.0,7,14,0.5,0,0,0.0,0,0,0.0,3,10,13,2,0,2,1,3,14,1,1,29.6,0.0,0.0675652849565893,0.3378264247829465,0.10134792743488395,0.03378264247829465,0.03378264247829465,39.35677848721327,0.0675652849565893,0.0,0.0,0.47295699469612507,16.553494814364377,2.5945244723115595,21.95871761089152,0.0,1.1823924867403128
22024,1627826,0022401068,"Mar 28, 2025",LAC @ BKN,W,25.0,9,9,1.0,0,0,0.0,3,4,0.75,0,12,12,1,0,1,1,3,21,32,1,20.0,0.0,0.049997500124993745,0.599970001499925,0.14999250037498124,0.049997500124993745,1.5999200039997998,76.99615019249038,0.049997500124993745,0.0,0.19999000049997498,0.4499775011249437,21.74891255437228,1.919923203071877,24.998750062496875,0.0,16.249187540622966
