SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,Poss,STL_RATE,BLK_RATE,DREB_RATE,PF_RATE,TOV_RATE,PM_RATE,DIS,AST_RATE,FG3A_RATE,FTA_RATE,FGA_RATE,OGI,Contest_Rate,Rim_Deterrence,TO_Pressure,OnOff_Net
22024,1626157,0022401167,"Apr 10, 2025",NYK @ DET,L,29.0,10,19,0.526,0,1,0.0,5,5,1.0,4,6,10,5,1,0,7,4,25,-5,1,23.200000000000003,0.04310159044868755,0.0,0.25860954269212527,0.1724063617947502,0.3017111331408128,-0.21550795224343774,14.439032800310324,0.21550795224343774,0.04310159044868755,0.21550795224343774,0.8189302185250634,45.25666997112192,1.6551153408503154,6.465238567303132,8.62031808973751,-2.370587474677815
22024,1626157,0022401151,"Apr 08, 2025",NYK vs. BOS,L,43.0,14,21,0.667,1,3,0.333,5,7,0.714,2,12,14,2,1,1,0,4,34,1,1,34.4,0.029068922415046078,0.029068922415046078,0.34882706898055293,0.11627568966018431,0.0,0.029068922415046078,39.6790790965379,0.058137844830092156,0.08720676724513823,0.20348245690532255,0.6104473707159677,30.813057759948844,2.232506220785563,14.53446120752304,5.813784483009216,1.453446120752304
22024,1626157,0022401140,"Apr 06, 2025",NYK vs. PHX,W,36.0,7,13,0.538,0,3,0.0,5,6,0.833,2,11,13,1,1,1,1,3,19,16,1,28.8,0.034721016631366966,0.034721016631366966,0.3819311829450366,0.1041630498941009,0.034721016631366966,0.5555362661018715,52.775945279677785,0.034721016631366966,0.1041630498941009,0.2083260997882018,0.45137321620777054,26.214367556682056,2.6665925946501488,16.492482899899308,6.944203326273393,5.728967744175549
22024,1626157,0022401128,"Apr 05, 2025",NYK @ ATL,W,33.0,10,15,0.667,2,3,0.667,8,9,0.889,2,9,11,3,0,0,3,1,30,27,1,26.400000000000002,0.0,0.0,0.34089617817506906,0.03787735313056323,0.11363205939168969,1.0226885345252072,37.687966364910416,0.11363205939168969,0.11363205939168969,0.34089617817506906,0.5681602969584485,39.771220787091394,0.0,8.522404454376726,0.0,10.795045642210521
22024,1626157,0022401103,"Apr 02, 2025",NYK @ CLE,L,34.0,9,16,0.563,1,3,0.333,6,7,0.857,3,10,13,1,0,0,7,5,25,-9,1,27.200000000000003,0.0,0.0,0.3676335428844527,0.18381677144222636,0.2573434800191169,-0.3308701885960075,9.374655343553538,0.03676335428844527,0.11029006286533581,0.2573434800191169,0.5882136686151244,31.800301459505164,0.0,9.190838572111318,0.0,-6.433587000477923
22024,1626157,0022401082,"Mar 30, 2025",NYK vs. POR,W,32.0,4,13,0.308,1,2,0.5,1,1,1.0,3,8,11,2,1,2,2,3,10,1,1,25.6,0.03906097418069606,0.07812194836139212,0.3124877934455685,0.11718292254208819,0.07812194836139212,0.03906097418069606,49.80274208038747,0.07812194836139212,0.07812194836139212,0.03906097418069606,0.5077926643490488,23.436584508417635,4.499859379394394,23.436584508417635,7.812194836139212,0.7812194836139215
22024,1626157,0022401070,"Mar 28, 2025",NYK @ MIL,W,32.0,6,16,0.375,1,3,0.333,1,1,1.0,4,6,10,1,2,0,3,5,14,9,1,25.6,0.07812194836139212,0.0,0.23436584508417638,0.1953048709034803,0.11718292254208819,0.3515487676262646,36.13140111714386,0.03906097418069606,0.11718292254208819,0.03906097418069606,0.624975586891137,25.58493808835592,2.999906252929596,5.85914612710441,15.624389672278424,2.5389633217452436
22024,1626157,0022401056,"Mar 26, 2025",NYK vs. LAC,L,39.0,11,20,0.55,4,7,0.571,8,10,0.8,1,13,14,4,2,0,4,2,34,2,1,31.200000000000003,0.06410050959905131,0.0,0.41665331239383346,0.06410050959905131,0.12820101919810262,0.06410050959905131,47.11387455530271,0.12820101919810262,0.22435178359667957,0.3205025479952565,0.641005095990513,47.43437710329796,2.46147534678598,10.416332809845837,12.820101919810261,1.2820101919810265
22024,1626157,0022401048,"Mar 25, 2025",NYK vs. DAL,W,34.0,10,19,0.526,2,7,0.286,4,8,0.5,2,10,12,11,1,0,3,3,26,23,1,27.200000000000003,0.03676335428844527,0.0,0.3676335428844527,0.11029006286533581,0.11029006286533581,0.8455571486342413,45.4027425462299,0.404396897172898,0.2573434800191169,0.2941068343075622,0.6985037314804602,68.93128929083488,1.4117231846122174,9.190838572111318,7.352670857689055,14.889158486820335
22024,1626157,0022401026,"Mar 22, 2025",NYK vs. WAS,W,37.0,10,20,0.5,1,5,0.2,10,13,0.769,0,11,11,1,2,1,3,2,31,20,1,29.6,0.0675652849565893,0.03378264247829465,0.37160906726124115,0.0675652849565893,0.10134792743488395,0.675652849565893,62.835715009628046,0.03378264247829465,0.16891321239147325,0.43917435221783047,0.675652849565893,43.07286915982568,3.891786708467339,16.046755177189958,13.513056991317859,5.9119624337015635
22024,1626157,0022401010,"Mar 20, 2025",NYK @ CHA,L,36.0,10,21,0.476,2,4,0.5,2,2,1.0,1,9,10,3,0,0,1,2,24,-15,1,28.8,0.0,0.0,0.3124891496823027,0.06944203326273393,0.034721016631366966,-0.5208152494705045,13.367591403076284,0.1041630498941009,0.13888406652546786,0.06944203326273393,0.7291413492587062,34.8946217145238,0.0,7.812228742057567,0.0,-3.6457067462935315
22024,1626157,0022401003,"Mar 19, 2025",NYK @ SAS,L,35.0,11,21,0.524,2,5,0.4,8,9,0.889,4,5,9,2,1,0,3,1,32,-13,1,28.0,0.03571301024963394,0.0,0.1785650512481697,0.03571301024963394,0.10713903074890183,-0.4642691332452412,13.392378843612729,0.07142602049926788,0.1785650512481697,0.32141709224670545,0.7499732152423128,43.927002607049744,1.3713893888746036,4.464126281204242,7.142602049926788,-4.821256383700582
22024,1626157,0022400984,"Mar 17, 2025",NYK vs. MIA,W,31.0,10,17,0.588,3,5,0.6,0,0,0.0,3,4,7,3,0,1,3,3,23,16,1,24.8,0.0,0.04032095480020967,0.16128381920083867,0.12096286440062899,0.12096286440062899,0.6451352768033547,24.1925728801258,0.12096286440062899,0.20160477400104834,0.0,0.6854562316035643,35.684044998185556,1.5483371504145027,12.0962864400629,0.0,7.056167090036692
22024,1626157,0022400974,"Mar 15, 2025",NYK @ GSW,L,30.0,12,21,0.571,3,5,0.6,2,2,1.0,5,7,12,3,0,1,2,6,29,-1,1,24.0,0.0,0.0416649306278905,0.29165451439523354,0.249989583767343,0.083329861255781,-0.0416649306278905,20.6241406608058,0.1249947918836715,0.2083246531394525,0.083329861255781,0.8749635431857006,43.95650181242448,1.5999466684443853,15.624348985458937,0.0,0.8332986125578101
22024,1626157,0022400953,"Mar 12, 2025",NYK @ POR,W,39.0,8,12,0.667,2,4,0.5,3,4,0.75,3,4,7,4,2,1,3,3,21,12,1,31.200000000000003,0.06410050959905131,0.032050254799525654,0.12820101919810262,0.09615076439857696,0.09615076439857696,0.38460305759430785,36.53729047145926,0.12820101919810262,0.12820101919810262,0.12820101919810262,0.38460305759430785,29.4862344155636,3.6922130201789702,9.615076439857695,12.820101919810261,4.967789493926477
22024,1626157,0022400939,"Mar 10, 2025",NYK @ SAC,W,28.0,8,15,0.533,3,6,0.5,7,9,0.778,2,7,9,3,1,1,4,5,26,8,1,22.400000000000002,0.04464086424713182,0.04464086424713182,0.3124860497299227,0.2232043212356591,0.17856345698852727,0.35712691397705454,40.623186464889955,0.13392259274139545,0.2678451854827909,0.40176777822418636,0.6696129637069773,53.56903709655818,3.4284489839648584,16.74032409267443,8.928172849426364,3.5712691397705454
22024,1626157,0022400911,"Mar 07, 2025",NYK @ LAC,L,34.0,8,21,0.381,3,7,0.429,4,4,1.0,2,8,10,2,2,0,3,3,23,-17,1,27.200000000000003,0.07352670857689055,0.0,0.2941068343075622,0.11029006286533581,0.11029006286533581,-0.6249770229035696,28.491599573545088,0.07352670857689055,0.2573434800191169,0.1470534171537811,0.7720304400573507,42.46167420315429,2.8234463692244347,7.352670857689055,14.70534171537811,-6.433587000477922
22024,1626157,0022400903,"Mar 06, 2025",NYK @ LAL,L,42.0,3,13,0.231,1,6,0.167,5,7,0.714,3,11,14,1,1,0,2,5,12,-1,1,33.6,0.029761019017291154,0.0,0.3273712091902027,0.14880509508645576,0.05952203803458231,-0.029761019017291154,26.933722210648497,0.029761019017291154,0.17856611410374693,0.20832713312103807,0.38689324722478496,27.975357876253682,1.142829932620652,8.184280229755068,5.9522038034582305,-0.595220380345823
22024,1626157,0022400869,"Mar 02, 2025",NYK @ MIA,W,40.0,6,11,0.545,1,4,0.25,6,7,0.857,4,12,16,0,0,1,3,4,19,10,1,32.0,0.0,0.031249023468016626,0.3749882816161995,0.1249960938720665,0.09374707040404988,0.3124902346801663,34.68641604949845,0.0,0.1249960938720665,0.2187431642761164,0.3437392581481829,22.499296896971973,1.1999700007499814,15.624511734008314,0.0,1.718696290740915
