SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,Poss,STL_RATE,BLK_RATE,DREB_RATE,PF_RATE,TOV_RATE,PM_RATE,DIS,AST_RATE,FG3A_RATE,FTA_RATE,FGA_RATE,OGI,Contest_Rate,Rim_Deterrence,TO_Pressure,OnOff_Net
22024,1630591,0022400638,"Jan 25, 2025",ORL vs. DET,W,16.0,3,8,0.375,2,5,0.4,0,3,0.0,0,2,2,3,1,0,3,5,8,12,1,12.8,0.07811889696117491,0.0,0.15623779392234982,0.39059448480587455,0.23435669088352473,0.9374267635340989,27.34161393641122,0.23435669088352473,0.39059448480587455,0.23435669088352473,0.6249511756893993,59.7609561752988,2.999812511718017,3.9059448480587458,15.623779392234983,10.546051089758611
22024,1630591,0022400470,"Jan 03, 2025",ORL @ TOR,W,13.0,2,7,0.286,2,5,0.4,0,0,0.0,0,2,2,1,1,0,1,0,6,6,1,10.4,0.09614460148062687,0.0,0.19228920296125374,0.0,0.09614460148062687,0.5768676088837612,49.99519276992597,0.09614460148062687,0.48072300740313434,0.0,0.6730122103643881,47.591577732910295,3.692023690485347,4.807230074031343,19.228920296125374,6.249399096240746
22024,1630591,0022400455,"Jan 01, 2025",ORL @ DET,L,34.0,9,20,0.45,3,9,0.333,3,4,0.75,1,3,4,3,3,2,2,3,24,-5,1,27.200000000000003,0.11029006286533581,0.07352670857689055,0.11029006286533581,0.11029006286533581,0.07352670857689055,-0.18381677144222636,50.917245689496696,0.11029006286533581,0.3308701885960075,0.1470534171537811,0.7352670857689054,47.79236057497886,7.058615923061087,17.462593287011504,22.058012573067163,-0.7352670857689056
22024,1630591,0022400436,"Dec 29, 2024",ORL vs. BKN,W,13.0,2,7,0.286,0,1,0.0,4,5,0.8,1,1,2,2,0,0,1,3,8,-4,1,10.4,0.0,0.0,0.09614460148062687,0.2884338044418806,0.09614460148062687,-0.38457840592250747,-12.498798192481493,0.19228920296125374,0.09614460148062687,0.48072300740313434,0.6730122103643881,51.918084799538505,0.0,2.4036150370156717,0.0,-1.442169022209403
22024,1630591,0022400419,"Dec 27, 2024",ORL vs. NYK,L,26.0,10,20,0.5,4,6,0.667,3,3,1.0,1,3,4,3,1,0,3,5,27,-6,1,20.8,0.04807461179750973,0.0,0.1442238353925292,0.24037305898754865,0.1442238353925292,-0.2884476707850584,7.691937887601553,0.1442238353925292,0.2884476707850584,0.1442238353925292,0.9614922359501946,53.60319215422335,1.846082842967578,3.60559588481323,9.614922359501946,-2.163357530887938
22024,1630591,0022400411,"Dec 26, 2024",ORL vs. MIA,L,32.0,10,21,0.476,2,11,0.182,7,8,0.875,0,4,4,2,1,0,7,3,29,8,1,25.6,0.03906097418069606,0.0,0.15624389672278424,0.11718292254208819,0.27342681926487244,0.3124877934455685,16.01499941408538,0.07812194836139212,0.4296707159876567,0.3124877934455685,0.8202804577946173,58.39615640014061,1.499953126464798,3.906097418069606,7.812194836139212,0.5859146127104404
22024,1630591,0022400393,"Dec 23, 2024",ORL vs. BOS,W,29.0,5,13,0.385,1,5,0.2,5,5,1.0,1,5,6,5,1,2,5,2,16,5,1,23.200000000000003,0.04310159044868755,0.0862031808973751,0.21550795224343774,0.0862031808973751,0.21550795224343774,0.21550795224343774,45.04116201887849,0.21550795224343774,0.21550795224343774,0.21550795224343774,0.5603206758329381,47.4117494935563,4.965346022550946,22.62833498556096,8.62031808973751,3.2326192836515655
22024,1630591,0022400361,"Dec 19, 2024",ORL vs. OKC,L,17.0,4,10,0.4,1,6,0.167,0,0,0.0,1,4,5,4,1,2,4,1,9,-3,1,13.600000000000001,0.07352400558782442,0.14704801117564884,0.29409602235129767,0.07352400558782442,0.29409602235129767,-0.22057201676347327,67.27446511285935,0.29409602235129767,0.44114403352694653,0.0,0.7352400558782441,61.02492463789427,8.470089994706193,36.76200279391221,14.704801117564884,-0.7352400558782448
22024,1630591,0022401227,"Dec 15, 2024",ORL vs. NYK,L,32.0,4,19,0.211,1,5,0.2,0,0,0.0,1,4,5,8,1,3,2,6,9,-15,1,25.6,0.03906097418069606,0.11718292254208819,0.15624389672278424,0.23436584508417638,0.07812194836139212,-0.585914612710441,33.00652318268818,0.3124877934455685,0.1953048709034803,0.0,0.7421585094332251,50.19335182219444,5.999812505859192,27.342681926487245,7.812194836139212,-0.7812194836139215
22024,1630591,0022401201,"Dec 10, 2024",ORL @ MIL,L,38.0,12,26,0.462,3,11,0.273,5,6,0.833,3,6,9,1,4,1,4,2,32,2,1,30.400000000000002,0.13157461925594552,0.03289365481398638,0.19736192888391826,0.06578730962797276,0.13157461925594552,0.06578730962797276,57.89283247261603,0.03289365481398638,0.36183020295385016,0.19736192888391826,0.8552350251636458,48.68260912469984,6.315623273071761,11.512779184895233,26.314923851189103,-0.6578730962797277
22024,1630591,0022400352,"Dec 08, 2024",ORL vs. PHX,W,31.0,8,18,0.444,4,10,0.4,6,7,0.857,0,4,4,2,1,0,4,5,26,-2,1,24.8,0.04032095480020967,0.0,0.16128381920083867,0.20160477400104834,0.16128381920083867,-0.08064190960041934,10.886657796056609,0.08064190960041934,0.4032095480020967,0.28224668360146765,0.725777186403774,53.8284746582799,1.5483371504145027,4.032095480020967,8.064190960041934,-1.6128381920083865
22024,1630591,0022400333,"Dec 06, 2024",ORL @ PHI,L,33.0,8,19,0.421,4,12,0.333,2,2,1.0,0,1,1,3,3,0,3,4,22,2,1,26.400000000000002,0.11363205939168969,0.0,0.03787735313056323,0.15150941252225292,0.11363205939168969,0.07575470626112646,28.786788379228057,0.11363205939168969,0.45452823756675875,0.07575470626112646,0.7196697094807014,51.32381349191317,4.363504136238296,0.9469338282640807,22.726411878337938,1.325707359569713
22024,1630591,0022400322,"Dec 04, 2024",ORL @ PHI,W,37.0,6,15,0.4,4,8,0.5,1,2,0.5,1,1,2,6,3,0,4,1,17,-10,1,29.6,0.10134792743488395,0.0,0.03378264247829465,0.03378264247829465,0.1351305699131786,-0.3378264247829465,22.63437046045741,0.2026958548697679,0.2702611398263572,0.0675652849565893,0.5067396371744197,42.73504273504273,3.891786708467339,0.8445660619573662,20.26958548697679,-1.3513056991317862
22024,1630591,0022400053,"Dec 03, 2024",ORL @ NYK,L,39.0,5,16,0.313,0,8,0.0,4,4,1.0,0,3,3,3,2,1,1,1,14,-18,1,31.200000000000003,0.06410050959905131,0.032050254799525654,0.09615076439857696,0.032050254799525654,0.032050254799525654,-0.5769045863914617,24.037691099644242,0.09615076439857696,0.25640203839620523,0.12820101919810262,0.5128040767924105,36.857793019454505,3.6922130201789702,8.813820069869555,12.820101919810261,-4.3267843979359615
22024,1630591,0022400305,"Dec 01, 2024",ORL @ BKN,W,27.0,4,11,0.364,1,3,0.333,3,3,1.0,1,2,3,5,2,0,5,6,12,10,1,21.6,0.09258830609693995,0.0,0.09258830609693995,0.27776491829081984,0.23147076524234986,0.4629415304846997,24.072959585204394,0.23147076524234986,0.13888245914540992,0.13888245914540992,0.5092356835331697,40.738854682653574,3.5554238731898815,2.3147076524234986,18.51766121938799,5.786769131058747
22024,1630591,0022400043,"Nov 29, 2024",ORL @ BKN,W,27.0,5,12,0.417,2,6,0.333,0,0,0.0,0,3,3,6,1,1,3,6,12,10,1,21.6,0.046294153048469976,0.046294153048469976,0.13888245914540992,0.27776491829081984,0.13888245914540992,0.4629415304846997,28.239433359566686,0.27776491829081984,0.27776491829081984,0.0,0.5555298365816397,47.22003610943938,3.5554238731898815,12.730892088329242,9.258830609693995,8.101476783482244
22024,1630591,0022400289,"Nov 27, 2024",ORL vs. CHI,W,32.0,10,18,0.556,4,9,0.444,7,7,1.0,1,2,3,7,0,0,2,2,31,20,1,25.6,0.0,0.0,0.07812194836139212,0.07812194836139212,0.07812194836139212,0.7812194836139212,12.499511737822742,0.27342681926487244,0.3515487676262646,0.27342681926487244,0.7030975352525292,63.864692785438066,0.0,1.953048709034803,0.0,12.108901996015781
22024,1630591,0022400265,"Nov 23, 2024",ORL vs. DET,W,9.0,1,3,0.333,0,1,0.0,0,0,0.0,0,0,0,1,0,1,0,0,2,-6,1,7.2,0.0,0.13886960144424385,0.0,0.0,0.0,-0.833217608665463,22.219136231079013,0.13886960144424385,0.13886960144424385,0.0,0.4166088043327315,27.07957228162755,5.332740806577048,27.773920288848768,0.0,-5.554784057769753
22024,1630591,0022400263,"Nov 21, 2024",ORL @ LAL,W,40.0,7,18,0.389,5,13,0.385,4,5,0.8,1,4,5,5,2,2,3,4,23,6,1,32.0,0.06249804693603325,0.06249804693603325,0.1249960938720665,0.1249960938720665,0.09374707040404988,0.18749414080809976,39.373769569700954,0.15624511734008315,0.4062373050842161,0.15624511734008315,0.5624824224242992,50.77966313552702,4.799880002999926,15.624511734008312,12.49960938720665,3.5936376988219125
22024,1630591,0022400259,"Nov 20, 2024",ORL @ LAC,L,25.0,5,11,0.455,2,6,0.333,4,4,1.0,1,1,2,2,1,1,0,2,16,-10,1,20.0,0.049997500124993745,0.049997500124993745,0.049997500124993745,0.09999500024998749,0.0,-0.4999750012499375,19.9990000499975,0.09999500024998749,0.2999850007499625,0.19999000049997498,0.5499725013749313,42.74786260686965,3.839846406143754,11.249437528123593,9.99950002499875,-2.999850007499625
