SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,Poss,STL_RATE,BLK_RATE,DREB_RATE,PF_RATE,TOV_RATE,PM_RATE,DIS,AST_RATE,FG3A_RATE,FTA_RATE,FGA_RATE,OGI,Contest_Rate,Rim_Deterrence,TO_Pressure,OnOff_Net
22024,1630178,0022400876,"Mar 03, 2025",PHI vs. POR,L,23.0,2,13,0.154,1,7,0.143,0,0,0.0,0,0,0,6,1,0,0,0,5,-15,1,18.400000000000002,0.054344872561273835,0.0,0.0,0.0,0.0,-0.8151730884191075,4.075865442095537,0.326069235367643,0.38041410792891683,0.0,0.7064833432965598,59.50763545459485,2.0868657884439807,0.0,10.868974512254766,-1.6303461768382146
22024,1630178,0022400864,"Mar 01, 2025",PHI vs. GSW,W,40.0,2,14,0.143,0,2,0.0,1,1,1.0,1,2,3,11,2,0,2,1,5,2,1,32.0,0.06249804693603325,0.0,0.06249804693603325,0.031249023468016626,0.06249804693603325,0.06249804693603325,21.561826192931477,0.3437392581481829,0.06249804693603325,0.031249023468016626,0.4374863285522328,39.21752445236086,2.399940001499963,1.5624511734008313,12.49960938720665,6.5622949282834915
22024,1630178,0022400838,"Feb 26, 2025",PHI @ NYK,L,44.0,12,32,0.375,0,10,0.0,6,6,1.0,1,3,4,5,1,1,1,2,30,-3,1,35.2,0.028408283855572286,0.028408283855572286,0.08522485156671686,0.05681656771114457,0.028408283855572286,-0.08522485156671686,18.039260248288404,0.14204141927786143,0.28408283855572286,0.17044970313343372,0.9090650833783132,52.83940797136445,2.1817685961682693,7.812278060282378,5.681656771114457,1.5624556120564757
22024,1630178,0022400823,"Feb 24, 2025",PHI vs. CHI,L,29.0,3,10,0.3,1,2,0.5,6,7,0.857,0,0,0,2,0,1,2,2,13,-27,1,23.200000000000003,0.0,0.04310159044868755,0.0,0.0862031808973751,0.0862031808973751,-1.1637429421145637,-12.714969182362827,0.0862031808973751,0.0862031808973751,0.3017111331408128,0.4310159044868755,31.679668979785347,1.6551153408503154,8.62031808973751,0.0,-11.206413516658762
22024,1630178,0022400807,"Feb 22, 2025",PHI vs. BKN,L,43.0,10,23,0.435,5,11,0.455,6,6,1.0,0,2,2,5,0,1,2,3,31,-1,1,34.4,0.0,0.029068922415046078,0.058137844830092156,0.08720676724513823,0.058137844830092156,-0.029068922415046078,6.249818319234908,0.1453446120752304,0.31975814656550683,0.17441353449027647,0.6685852155460598,48.98113426935264,1.1162531103927815,7.2672306037615195,0.0,1.7441353449027648
22024,1630178,0022400789,"Feb 20, 2025",PHI vs. BOS,L,34.0,6,10,0.6,1,4,0.25,3,3,1.0,0,5,5,7,1,0,0,2,16,-25,1,27.200000000000003,0.03676335428844527,0.0,0.18381677144222636,0.07352670857689055,0.0,-0.9190838572111318,9.007021800669092,0.2573434800191169,0.1470534171537811,0.11029006286533581,0.3676335428844527,38.41770523142531,1.4117231846122174,4.595419286055659,7.352670857689055,-4.0439689717289795
22024,1630178,0022400764,"Feb 11, 2025",PHI vs. TOR,L,34.0,1,9,0.111,1,7,0.143,2,2,1.0,0,5,5,3,0,0,4,4,5,-15,1,27.200000000000003,0.0,0.0,0.18381677144222636,0.1470534171537811,0.1470534171537811,-0.5514503143266791,-3.8601522002867554,0.11029006286533581,0.2573434800191169,0.07352670857689055,0.3308701885960075,31.432667916620705,0.0,4.595419286055659,0.0,-5.514503143266792
22024,1630178,0022400754,"Feb 09, 2025",PHI @ MIL,L,40.0,16,23,0.696,5,10,0.5,2,3,0.667,1,3,4,5,1,1,4,1,39,-1,1,32.0,0.031249023468016626,0.031249023468016626,0.09374707040404988,0.031249023468016626,0.1249960938720665,-0.031249023468016626,19.218149432830227,0.15624511734008315,0.3124902346801663,0.09374707040404988,0.7187275397643824,47.81100590606544,2.399940001499963,8.593481453704573,6.249804693603325,0.937470704040499
22024,1630178,0022400738,"Feb 07, 2025",PHI @ DET,L,39.0,9,20,0.45,4,10,0.4,5,6,0.833,1,2,3,7,2,0,4,2,27,-19,1,31.200000000000003,0.06410050959905131,0.0,0.06410050959905131,0.06410050959905131,0.12820101919810262,-0.6089548411909874,8.813820069869557,0.22435178359667957,0.3205025479952565,0.19230152879715393,0.641005095990513,54.485433159193605,2.46147534678598,1.6025127399762826,12.820101919810261,-3.5255280279478223
22024,1630178,0022400721,"Feb 05, 2025",PHI vs. MIA,L,38.0,11,28,0.393,3,11,0.273,6,6,1.0,0,3,3,5,4,0,1,2,31,-15,1,30.400000000000002,0.13157461925594552,0.0,0.09868096444195913,0.06578730962797276,0.03289365481398638,-0.4934048222097957,36.347488569454946,0.1644682740699319,0.36183020295385016,0.19736192888391826,0.9210223347916185,59.537515213315345,5.05249861845741,2.4670241110489783,26.314923851189103,-2.1380875629091145
22024,1630178,0022400712,"Feb 04, 2025",PHI vs. DAL,W,40.0,13,22,0.591,3,11,0.273,4,5,0.8,1,3,4,13,2,0,3,4,33,18,1,32.0,0.06249804693603325,0.0,0.09374707040404988,0.1249960938720665,0.09374707040404988,0.5624824224242992,26.8741601824943,0.4062373050842161,0.3437392581481829,0.15624511734008315,0.6874785162963658,68.27911627761634,2.399940001499963,2.343676760101247,12.49960938720665,12.343364269866568
22024,1630178,0022400698,"Feb 02, 2025",PHI vs. BOS,L,40.0,9,21,0.429,5,8,0.625,11,11,1.0,0,3,3,6,0,0,2,4,34,0,1,32.0,0.0,0.0,0.09374707040404988,0.1249960938720665,0.06249804693603325,0.0,0.6249804693603331,0.18749414080809976,0.249992187744133,0.3437392581481829,0.6562294928283492,54.06081059966876,0.0,2.343676760101247,0.0,2.812412112121496
22024,1630178,0022400681,"Jan 31, 2025",PHI vs. DEN,L,39.0,15,26,0.577,6,11,0.545,6,8,0.75,0,2,2,9,2,0,5,2,42,-1,1,31.200000000000003,0.06410050959905131,0.0,0.06410050959905131,0.06410050959905131,0.16025127399762826,-0.032050254799525654,16.505881221755715,0.28845229319573085,0.3525528027947822,0.25640203839620523,0.8333066247876669,67.62603762699914,2.46147534678598,1.6025127399762826,12.820101919810261,3.044774205954936
22024,1630178,0022400669,"Jan 29, 2025",PHI vs. SAC,W,38.0,12,24,0.5,1,6,0.167,5,5,1.0,1,3,4,8,0,1,3,3,30,0,1,30.400000000000002,0.0,0.03289365481398638,0.09868096444195913,0.09868096444195913,0.09868096444195913,0.0,9.210223347916186,0.26314923851189104,0.19736192888391826,0.1644682740699319,0.7894477155356731,53.781125620867726,1.2631246546143524,9.045755073846255,0.0,3.7827703036084337
22024,1630178,0022400660,"Jan 28, 2025",PHI vs. LAL,W,36.0,15,26,0.577,4,11,0.364,9,9,1.0,0,3,3,2,2,0,1,4,43,20,1,28.8,0.06944203326273393,0.0,0.1041630498941009,0.13888406652546786,0.034721016631366966,0.6944203326273393,32.984965799798616,0.06944203326273393,0.3819311829450366,0.3124891496823027,0.9027464324155411,57.463282524912316,2.6665925946501488,2.6040762473525225,13.888406652546786,7.812228742057566
